age,workclass,fnlwgt,education,native-country
36, Private,592930, HS-grad, United-States
28, Private,183802, HS-grad, United-States
39, Private,77005, Masters, United-States
49, Private,80914, 5th-6th, United-States
63, Self-emp-inc,165667, HS-grad, United-States
61, Private,123991, Some-college, United-States
48, Self-emp-inc,181307, HS-grad, United-States
55, Private,124137, HS-grad, Poland
18, ?,137363, Some-college, United-States
20, Private,291979, HS-grad, United-States
49, Private,91251, HS-grad, China
27, Federal-gov,148153, HS-grad, United-States
37, Private,131463, 10th, United-States
32, State-gov,127651, HS-grad, United-States
33, Self-emp-inc,239018, Doctorate, United-States
47, Private,276087, Assoc-voc, United-States
34, Private,386877, HS-grad, United-States
61, Private,210464, HS-grad, United-States
25, Private,632834, HS-grad, United-States
26, Private,245465, Assoc-acdm, United-States
18, Private,198087, HS-grad, United-States
35, Private,27408, HS-grad, United-States
36, Private,242713, HS-grad, ?
56, Private,314727, HS-grad, United-States
40, State-gov,269733, Assoc-voc, United-States
24, Private,177287, 12th, United-States
66, Private,167711, HS-grad, United-States
42, Private,112181, HS-grad, United-States
28, Private,339002, HS-grad, United-States
39, State-gov,24721, Some-college, United-States
65, Self-emp-not-inc,37092, Assoc-voc, United-States
20, Private,216563, Some-college, United-States
52, Private,204447, HS-grad, United-States
24, ?,151153, Some-college, South
39, Private,187089, Some-college, United-States
18, Private,423052, HS-grad, United-States
49, Private,169180, 7th-8th, Hong
21, Private,104981, Some-college, United-States
35, ?,120074, HS-grad, United-States
38, Private,269323, HS-grad, United-States
55, Private,141549, HS-grad, United-States
27, Private,214858, 10th, United-States
34, Private,173524, HS-grad, United-States
54, Local-gov,365049, Some-college, Mexico
38, Private,60355, HS-grad, United-States
32, Private,86808, HS-grad, United-States
33, State-gov,174171, Some-college, United-States
32, Federal-gov,504951, Assoc-acdm, United-States
34, Private,294064, Masters, France
46, Private,120131, Bachelors, United-States
48, Private,199058, Masters, United-States
23, Private,152328, Some-college, United-States
48, Federal-gov,88564, 7th-8th, United-States
67, Private,95113, HS-grad, United-States
36, Private,247558, Prof-school, ?
25, Private,178421, Bachelors, United-States
43, Private,484861, Some-college, United-States
27, Local-gov,225291, Assoc-acdm, United-States
56, Private,205735, 1st-4th, United-States
54, Self-emp-not-inc,58898, Some-college, United-States
39, Private,355468, HS-grad, United-States
60, Self-emp-not-inc,184362, HS-grad, United-States
27, Private,347513, Some-college, United-States
21, Private,138768, Some-college, United-States
24, Private,29810, Some-college, United-States
31, Private,126501, Some-college, United-States
22, Private,60783, 10th, United-States
26, Private,179772, Bachelors, United-States
45, Self-emp-inc,281911, HS-grad, United-States
33, Private,70447, HS-grad, United-States
55, ?,449576, 5th-6th, Mexico
29, Private,327964, 9th, United-States
72, Private,496538, HS-grad, United-States
35, Self-emp-not-inc,153066, HS-grad, United-States
53, State-gov,77651, HS-grad, United-States
40, Private,119493, Some-college, United-States
20, Private,256240, HS-grad, United-States
69, Private,177374, HS-grad, United-States
41, Local-gov,37848, HS-grad, United-States
45, Private,129336, Masters, United-States
27, Private,183511, HS-grad, United-States
46, Self-emp-inc,120131, Prof-school, United-States
55, Private,190508, Some-college, United-States
31, Private,363130, Some-college, United-States
45, Private,240356, Some-college, United-States
64, Private,133166, HS-grad, United-States
38, Private,32916, Some-college, United-States
17, Private,117477, 10th, United-States
33, Private,34748, HS-grad, United-States
22, Private,459463, 12th, United-States
23, Private,95989, Some-college, United-States
25, Private,118088, HS-grad, United-States
