age,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
42,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, ?
45,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
22,10, Never-married, Sales, Own-child, White, Male,0,0,40, United-States
50,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland
21,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States
44,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
60,9, Separated, Other-service, Not-in-family, Black, Male,0,1876,50, United-States
21,10, Never-married, ?, Own-child, White, Female,0,0,6, United-States
51,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States
30,9, Married-spouse-absent, Craft-repair, Other-relative, White, Male,0,0,40, United-States
46,12, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
43,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
57,9, Never-married, Other-service, Not-in-family, Black, Male,0,0,48, United-States
48,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States
39,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7688,0,40, ?
68,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,2414,0,40, United-States
33,10, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States
22,9, Never-married, Handlers-cleaners, Own-child, White, Male,4416,0,40, United-States
18,7, Never-married, ?, Other-relative, White, Male,0,0,7, United-States
28,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States
32,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India
56,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,42, United-States
36,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States
34,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States
18,9, Never-married, Sales, Not-in-family, White, Female,0,1721,40, United-States
39,6, Widowed, Machine-op-inspct, Not-in-family, Black, Male,0,1590,40, United-States
25,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
27,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States
56,14, Divorced, Sales, Not-in-family, White, Male,0,1876,60, United-States
33,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
49,16, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States
44,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,84, United-States
30,7, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States
27,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States
25,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States
30,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States
38,12, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, El-Salvador
38,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
46,10, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States
37,9, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States
62,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
55,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
47,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
45,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,14, United-States
50,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
