2020-02-12/17:40:28		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:32		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:39		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:39		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:40		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:41		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:42		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:43		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:44		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:45		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:45		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:45		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:45		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:45		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:45		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:45		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:46		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:47		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:48		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:49		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:51		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:52		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:53		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:54		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:55		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:55		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:55		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:55		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:55		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:55		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:55		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:57		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:57		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:57		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:57		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:57		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:57		 incomeData_02112019_121136.csv: File loaded successfully!!
2020-02-12/17:40:57		 incomeData_02112019_121136.csv: File loaded successfully!!
